DATE,MORTGAGE30US,RRVRUSQ156N,CPIAUCSL
1971-04-04,7.33,5.3,40.1
1971-04-11,7.31,5.3,40.1
1971-04-18,7.31,5.3,40.1
1971-04-25,7.31,5.3,40.1
1971-05-02,7.29,5.3,40.1
1971-05-03,7.29,5.3,40.3
1971-05-09,7.38,5.3,40.3
1971-05-16,7.42,5.3,40.3
1971-05-23,7.44,5.3,40.3
1971-05-30,7.46,5.3,40.3
1971-06-03,7.46,5.3,40.5
1971-06-06,7.52,5.3,40.5
1971-06-13,7.52,5.3,40.5
1971-06-20,7.54,5.3,40.5
1971-06-27,7.54,5.3,40.5
1971-07-03,7.54,5.6,40.6
1971-07-04,7.54,5.6,40.6
1971-07-11,7.54,5.6,40.6
1971-07-18,7.6,5.6,40.6
1971-07-25,7.65,5.6,40.6
1971-08-01,7.69,5.6,40.6
1971-08-03,7.69,5.6,40.7
1971-08-08,7.66,5.6,40.7
1971-08-15,7.73,5.6,40.7
1971-08-22,7.71,5.6,40.7
1971-08-29,7.69,5.6,40.7
1971-09-03,7.69,5.6,40.8
1971-09-05,7.71,5.6,40.8
1971-09-12,7.67,5.6,40.8
1971-09-19,7.7,5.6,40.8
1971-09-26,7.67,5.6,40.8
1971-10-03,7.67,5.6,40.9
1971-10-10,7.63,5.6,40.9
1971-10-17,7.63,5.6,40.9
1971-10-24,7.58,5.6,40.9
1971-10-31,7.63,5.6,40.9
1971-11-03,7.63,5.6,41.0
1971-11-07,7.59,5.6,41.0
1971-11-14,7.56,5.6,41.0
1971-11-21,7.54,5.6,41.0
1971-11-28,7.51,5.6,41.0
1971-12-03,7.51,5.6,41.1
1971-12-05,7.49,5.6,41.1
1971-12-12,7.47,5.6,41.1
1971-12-19,7.48,5.6,41.1
1971-12-26,7.48,5.6,41.1
1972-01-02,7.48,5.6,41.1
1972-01-03,7.48,5.3,41.2
1972-01-09,7.46,5.3,41.2
1972-01-16,7.46,5.3,41.2
1972-01-23,7.43,5.3,41.2
1972-01-30,7.4,5.3,41.2
1972-02-03,7.4,5.3,41.4
1972-02-06,7.35,5.3,41.4
1972-02-13,7.33,5.3,41.4
1972-02-20,7.31,5.3,41.4
1972-02-27,7.31,5.3,41.4
1972-03-03,7.31,5.3,41.4
1972-03-05,7.32,5.3,41.4
1972-03-12,7.32,5.3,41.4
1972-03-19,7.31,5.3,41.4
1972-03-26,7.31,5.3,41.4
1972-04-02,7.23,5.3,41.4
1972-04-03,7.23,5.5,41.5
1972-04-09,7.25,5.5,41.5
1972-04-16,7.29,5.5,41.5
1972-04-23,7.29,5.5,41.5
1972-04-30,7.33,5.5,41.5
1972-05-03,7.33,5.5,41.6
1972-05-07,7.33,5.5,41.6
1972-05-14,7.38,5.5,41.6
1972-05-21,7.38,5.5,41.6
